Loan_ID,,Customer_id,, LoanAmount ,,Loan_Amount_Term,,Cibil Score,,,,,,,,,,,,Remarks Criteria
LP001002,"(LP001002,",IP43001,"IP43001,",Null,"Null,",360,"360,",303,"303),",,,,Remarks Updating Details,,,,,,,Cibil_score > 900  High_Cibil_Score
LP001003,"(LP001003,",IP43002,"IP43002,",128,"128,",360,"360,",920,"920),",,,,Loan_id,Loan_amount,Cibil_Score,Cibil_Score_status,,,,Cibil_Score >750  NO_Penalty
LP001005,"(LP001005,",IP43003,"IP43003,",66,"66,",360,"360,",606,"606),",,,,,,,,,,,Cibil_Score >250 Penalty customers
LP001006,"(LP001006,",IP43004,"IP43004,",120,"120,",360,"360,",851,"851),",,,,,,,,,,,Cibil_Score <=0 Reject Customers (Loan cannot apply)
LP001008,"(LP001008,",IP43005,"IP43005,",141,"141,",360,"360,",420,"420),",,,,,,,,,,,
LP001011,"(LP001011,",IP43006,"IP43006,",267,"267,",360,"360,",173,"173),",,,,,,,,,,,
LP001013,"(LP001013,",IP43007,"IP43007,",95,"95,",360,"360,",650,"650),",,,,,,,,,,,
LP001014,"(LP001014,",IP43008,"IP43008,",158,"158,",360,"360,",471,"471),",,,,,,,,,,,
LP001018,"(LP001018,",IP43009,"IP43009,",168,"168,",360,"360,",863,"863),",,,,,,,,,,,
LP001020,"(LP001020,",IP43010,"IP43010,",349,"349,",360,"360,",730,"730),",,,,,,,,,,,
LP001024,"(LP001024,",IP43011,"IP43011,",70,"70,",360,"360,",143,"143),",,,,,,,,,,,
LP001027,"(LP001027,",IP43012,"IP43012,",109,"109,",360,"360,",384,"384),",,,,,,,,,,,
LP001028,"(LP001028,",IP43013,"IP43013,",200,"200,",360,"360,",928,"928),",,,,,,,,,,,
LP001029,"(LP001029,",IP43014,"IP43014,",114,"114,",360,"360,",455,"455),",,,,,,,,,,,
LP001030,"(LP001030,",IP43015,"IP43015,",17,"17,",120,"120,",564,"564),",,,,,,,,,,,
LP001032,"(LP001032,",IP43016,"IP43016,",125,"125,",360,"360,",477,"477),",,,,,Loan Amount,,,,,,
LP001034,"(LP001034,",IP43017,"IP43017,",100,"100,",240,"240,",888,"888),",,,,,Null,Loan Still Processing,,,,,
LP001036,"(LP001036,",IP43018,"IP43018,",76,"76,",360,"360,",387,"387),",,,,,,,,,,,
LP001038,"(LP001038,",IP43019,"IP43019,",133,"133,",360,"360,",371,"371),",,,,,,,,,,,
LP001041,"(LP001041,",IP43020,"IP43020,",115,"115,",0,"0,",537,"537),",,,,,,,,,,,
LP001043,"(LP001043,",IP43021,"IP43021,",104,"104,",360,"360,",534,"534),",,,,,,,,,,,
LP001046,"(LP001046,",IP43022,"IP43022,",315,"315,",360,"360,",903,"903),",,,,,,,,,,,
LP001047,"(LP001047,",IP43023,"IP43023,",116,"116,",360,"360,",615,"615),",,,,,,,,,,,
LP001050,"(LP001050,",IP43024,"IP43024,",112,"112,",360,"360,",593,"593),",,,,,,,,,,,
LP001052,"(LP001052,",IP43025,"IP43025,",151,"151,",360,"360,",79,"79),",,,,,,,,,,,
LP001066,"(LP001066,",IP43026,"IP43026,",191,"191,",360,"360,",293,"293),",,,,,,,,,,,
LP001068,"(LP001068,",IP43027,"IP43027,",122,"122,",360,"360,",999,"999),",,,,,,,,,,,
LP001073,"(LP001073,",IP43028,"IP43028,",110,"110,",360,"360,",781,"781),",,,,,,,,,,,
LP001086,"(LP001086,",IP43029,"IP43029,",35,"35,",360,"360,",521,"521),",,,,,,,,,,,
LP001087,"(LP001087,",IP43030,"IP43030,",120,"120,",360,"360,",620,"620),",,,,,,,,,,,
LP001091,"(LP001091,",IP43031,"IP43031,",201,"201,",360,"360,",972,"972),",,,,,,,,,,,
LP001095,"(LP001095,",IP43032,"IP43032,",74,"74,",360,"360,",425,"425),",,,,,,,,,,,
LP001097,"(LP001097,",IP43033,"IP43033,",106,"106,",360,"360,",420,"420),",,,,,,,,,,,
LP001098,"(LP001098,",IP43034,"IP43034,",114,"114,",360,"360,",667,"667),",,,,,,,,,,,
LP001100,"(LP001100,",IP43035,"IP43035,",320,"320,",360,"360,",889,"889),",,,,,,,,,,,
LP001106,"(LP001106,",IP43036,"IP43036,",Null,"Null,",360,"360,",460,"460),",,,,,,,,,,,
LP001109,"(LP001109,",IP43037,"IP43037,",100,"100,",0,"0,",413,"413),",,,,,,,,,,,
LP001112,"(LP001112,",IP43038,"IP43038,",144,"144,",360,"360,",139,"139),",,,,,,,,,,,
LP001114,"(LP001114,",IP43039,"IP43039,",184,"184,",360,"360,",812,"812),",,,,,,,,,,,
LP001116,"(LP001116,",IP43040,"IP43040,",110,"110,",360,"360,",71,"71),",,,,,,,,,,,
LP001119,"(LP001119,",IP43041,"IP43041,",80,"80,",360,"360,",374,"374),",,,,,,,,,,,
LP001120,"(LP001120,",IP43042,"IP43042,",47,"47,",360,"360,",472,"472),",,,,,,,,,,,
LP001123,"(LP001123,",IP43043,"IP43043,",75,"75,",360,"360,",881,"881),",,,,,,,,,,,
LP001131,"(LP001131,",IP43044,"IP43044,",134,"134,",360,"360,",80,"80),",,,,,,,,,,,
LP001136,"(LP001136,",IP43045,"IP43045,",96,"96,",0,"0,",760,"760),",,,,,,,,,,,
LP001137,"(LP001137,",IP43046,"IP43046,",88,"88,",0,"0,",495,"495),",,,,,,,,,,,
LP001138,"(LP001138,",IP43047,"IP43047,",44,"44,",360,"360,",197,"197),",,,,,,,,,,,
LP001144,"(LP001144,",IP43048,"IP43048,",144,"144,",360,"360,",151,"151),",,,,,,,,,,,
LP001146,"(LP001146,",IP43049,"IP43049,",120,"120,",360,"360,",733,"733),",,,,,,,,,,,
LP001151,"(LP001151,",IP43050,"IP43050,",144,"144,",360,"360,",187,"187),",,,,,,,,,,,
LP001155,"(LP001155,",IP43051,"IP43051,",100,"100,",360,"360,",808,"808),",,,,,,,,,,,
LP001157,"(LP001157,",IP43052,"IP43052,",120,"120,",360,"360,",475,"475),",,,,,,,,,,,
LP001164,"(LP001164,",IP43053,"IP43053,",112,"112,",360,"360,",359,"359),",,,,,,,,,,,
LP001179,"(LP001179,",IP43054,"IP43054,",134,"134,",360,"360,",716,"716),",,,,,,,,,,,
LP001186,"(LP001186,",IP43055,"IP43055,",286,"286,",360,"360,",546,"546),",,,,,,,,,,,
LP001194,"(LP001194,",IP43056,"IP43056,",97,"97,",360,"360,",509,"509),",,,,,,,,,,,
LP001195,"(LP001195,",IP43057,"IP43057,",96,"96,",360,"360,",160,"160),",,,,,,,,,,,
LP001197,"(LP001197,",IP43058,"IP43058,",135,"135,",360,"360,",186,"186),",,,,,,,,,,,
LP001198,"(LP001198,",IP43059,"IP43059,",180,"180,",360,"360,",781,"781),",,,,,,,,,,,
LP001199,"(LP001199,",IP43060,"IP43060,",144,"144,",360,"360,",949,"949),",,,,,,,,,,,
LP001205,"(LP001205,",IP43061,"IP43061,",120,"120,",360,"360,",629,"629),",,,,,,,,,,,
LP001206,"(LP001206,",IP43062,"IP43062,",99,"99,",360,"360,",803,"803),",,,,,,,,,,,
LP001207,"(LP001207,",IP43063,"IP43063,",165,"165,",180,"180,",889,"889),",,,,,,,,,,,
LP001213,"(LP001213,",IP43064,"IP43064,",Null,"Null,",360,"360,",291,"291),",,,,,,,,,,,
LP001222,"(LP001222,",IP43065,"IP43065,",116,"116,",360,"360,",924,"924),",,,,,,,,,,,
LP001225,"(LP001225,",IP43066,"IP43066,",258,"258,",360,"360,",261,"261),",,,,,,,,,,,
LP001228,"(LP001228,",IP43067,"IP43067,",126,"126,",180,"180,",339,"339),",,,,,,,,,,,
LP001233,"(LP001233,",IP43068,"IP43068,",312,"312,",360,"360,",551,"551),",,,,,,,,,,,
LP001238,"(LP001238,",IP43069,"IP43069,",125,"125,",60,"60,",227,"227),",,,,,,,,,,,
LP001241,"(LP001241,",IP43070,"IP43070,",136,"136,",360,"360,",827,"827),",,,,,,,,,,,
LP001243,"(LP001243,",IP43071,"IP43071,",172,"172,",360,"360,",240,"240),",,,,,,,,,,,
LP001245,"(LP001245,",IP43072,"IP43072,",97,"97,",360,"360,",245,"245),",,,,,,,,,,,
LP001248,"(LP001248,",IP43073,"IP43073,",81,"81,",300,"300,",252,"252),",,,,,,,,,,,
LP001250,"(LP001250,",IP43074,"IP43074,",95,"95,",0,"0,",594,"594),",,,,,,,,,,,
LP001253,"(LP001253,",IP43075,"IP43075,",187,"187,",360,"360,",520,"520),",,,,,,,,,,,
LP001255,"(LP001255,",IP43076,"IP43076,",113,"113,",480,"480,",74,"74),",,,,,,,,,,,
LP001256,"(LP001256,",IP43077,"IP43077,",176,"176,",360,"360,",492,"492),",,,,,,,,,,,
LP001259,"(LP001259,",IP43078,"IP43078,",110,"110,",360,"360,",399,"399),",,,,,,,,,,,
LP001263,"(LP001263,",IP43079,"IP43079,",180,"180,",300,"300,",342,"342),",,,,,,,,,,,
LP001264,"(LP001264,",IP43080,"IP43080,",130,"130,",360,"360,",951,"951),",,,,,,,,,,,
LP001265,"(LP001265,",IP43081,"IP43081,",111,"111,",360,"360,",431,"431),",,,,,,,,,,,
LP001266,"(LP001266,",IP43082,"IP43082,",Null,"Null,",360,"360,",499,"499),",,,,,,,,,,,
LP001267,"(LP001267,",IP43083,"IP43083,",167,"167,",360,"360,",309,"309),",,,,,,,,,,,
LP001273,"(LP001273,",IP43084,"IP43084,",265,"265,",360,"360,",393,"393),",,,,,,,,,,,
LP001275,"(LP001275,",IP43085,"IP43085,",50,"50,",240,"240,",933,"933),",,,,,,,,,,,
LP001279,"(LP001279,",IP43086,"IP43086,",136,"136,",360,"360,",720,"720),",,,,,,,,,,,
LP001280,"(LP001280,",IP43087,"IP43087,",99,"99,",360,"360,",985,"985),",,,,,,,,,,,
LP001282,"(LP001282,",IP43088,"IP43088,",104,"104,",360,"360,",789,"789),",,,,,,,,,,,
LP001289,"(LP001289,",IP43089,"IP43089,",210,"210,",360,"360,",611,"611),",,,,,,,,,,,
LP001310,"(LP001310,",IP43090,"IP43090,",175,"175,",360,"360,",429,"429),",,,,,,,,,,,
LP001316,"(LP001316,",IP43091,"IP43091,",131,"131,",360,"360,",497,"497),",,,,,,,,,,,
LP001318,"(LP001318,",IP43092,"IP43092,",188,"188,",180,"180,",71,"71),",,,,,,,,,,,
LP001319,"(LP001319,",IP43093,"IP43093,",81,"81,",360,"360,",225,"225),",,,,,,,,,,,
LP001322,"(LP001322,",IP43094,"IP43094,",122,"122,",360,"360,",148,"148),",,,,,,,,,,,
LP001325,"(LP001325,",IP43095,"IP43095,",25,"25,",120,"120,",680,"680),",,,,,,,,,,,
LP001326,"(LP001326,",IP43096,"IP43096,",Null,"Null,",360,"360,",394,"394),",,,,,,,,,,,
LP001327,"(LP001327,",IP43097,"IP43097,",137,"137,",360,"360,",558,"558),",,,,,,,,,,,
LP001333,"(LP001333,",IP43098,"IP43098,",50,"50,",360,"360,",994,"994),",,,,,,,,,,,
LP001334,"(LP001334,",IP43099,"IP43099,",115,"115,",180,"180,",632,"632),",,,,,,,,,,,
LP001343,"(LP001343,",IP43100,"IP43100,",131,"131,",360,"360,",213,"213),",,,,,,,,,,,
LP001345,"(LP001345,",IP43101,"IP43101,",133,"133,",180,"180,",759,"759),",,,,,,,,,,,
LP001349,"(LP001349,",IP43102,"IP43102,",151,"151,",360,"360,",263,"263),",,,,,,,,,,,
LP001350,"(LP001350,",IP43103,"IP43103,",Null,"Null,",360,"360,",722,"722),",,,,,,,,,,,
LP001356,"(LP001356,",IP43104,"IP43104,",Null,"Null,",360,"360,",142,"142),",,,,,,,,,,,
LP001357,"(LP001357,",IP43105,"IP43105,",160,"160,",360,"360,",200,"200),",,,,,,,,,,,
LP001367,"(LP001367,",IP43106,"IP43106,",100,"100,",360,"360,",157,"157),",,,,,,,,,,,
LP001369,"(LP001369,",IP43107,"IP43107,",225,"225,",360,"360,",636,"636),",,,,,,,,,,,
LP001370,"(LP001370,",IP43108,"IP43108,",120,"120,",360,"360,",550,"550),",,,,,,,,,,,
LP001379,"(LP001379,",IP43109,"IP43109,",216,"216,",360,"360,",231,"231),",,,,,,,,,,,
LP001384,"(LP001384,",IP43110,"IP43110,",94,"94,",480,"480,",336,"336),",,,,,,,,,,,
LP001385,"(LP001385,",IP43111,"IP43111,",136,"136,",360,"360,",555,"555),",,,,,,,,,,,
LP001387,"(LP001387,",IP43112,"IP43112,",139,"139,",360,"360,",680,"680),",,,,,,,,,,,
LP001391,"(LP001391,",IP43113,"IP43113,",152,"152,",0,"0,",140,"140),",,,,,,,,,,,
LP001392,"(LP001392,",IP43114,"IP43114,",Null,"Null,",360,"360,",979,"979),",,,,,,,,,,,
LP001398,"(LP001398,",IP43115,"IP43115,",118,"118,",360,"360,",278,"278),",,,,,,,,,,,
LP001401,"(LP001401,",IP43116,"IP43116,",185,"185,",180,"180,",478,"478),",,,,,,,,,,,
LP001404,"(LP001404,",IP43117,"IP43117,",154,"154,",360,"360,",919,"919),",,,,,,,,,,,
LP001405,"(LP001405,",IP43118,"IP43118,",85,"85,",360,"360,",570,"570),",,,,,,,,,,,
LP001421,"(LP001421,",IP43119,"IP43119,",175,"175,",360,"360,",375,"375),",,,,,,,,,,,
LP001422,"(LP001422,",IP43120,"IP43120,",259,"259,",360,"360,",997,"997),",,,,,,,,,,,
LP001426,"(LP001426,",IP43121,"IP43121,",180,"180,",360,"360,",731,"731),",,,,,,,,,,,
LP001430,"(LP001430,",IP43122,"IP43122,",44,"44,",360,"360,",483,"483),",,,,,,,,,,,
LP001431,"(LP001431,",IP43123,"IP43123,",137,"137,",360,"360,",877,"877),",,,,,,,,,,,
LP001432,"(LP001432,",IP43124,"IP43124,",81,"81,",360,"360,",815,"815),",,,,,,,,,,,
LP001439,"(LP001439,",IP43125,"IP43125,",194,"194,",360,"360,",213,"213),",,,,,,,,,,,
LP001443,"(LP001443,",IP43126,"IP43126,",93,"93,",360,"360,",403,"403),",,,,,,,,,,,
LP001448,"(LP001448,",IP43127,"IP43127,",370,"370,",360,"360,",249,"249),",,,,,,,,,,,
LP001449,"(LP001449,",IP43128,"IP43128,",Null,"Null,",360,"360,",261,"261),",,,,,,,,,,,
LP001451,"(LP001451,",IP43129,"IP43129,",160,"160,",180,"180,",929,"929),",,,,,,,,,,,
LP001465,"(LP001465,",IP43130,"IP43130,",182,"182,",360,"360,",454,"454),",,,,,,,,,,,
LP001469,"(LP001469,",IP43131,"IP43131,",650,"650,",480,"480,",840,"840),",,,,,,,,,,,
LP001473,"(LP001473,",IP43132,"IP43132,",74,"74,",360,"360,",208,"208),",,,,,,,,,,,
LP001478,"(LP001478,",IP43133,"IP43133,",70,"70,",360,"360,",353,"353),",,,,,,,,,,,
LP001482,"(LP001482,",IP43134,"IP43134,",25,"25,",120,"120,",926,"926),",,,,,,,,,,,
LP001487,"(LP001487,",IP43135,"IP43135,",102,"102,",360,"360,",688,"688),",,,,,,,,,,,
LP001488,"(LP001488,",IP43136,"IP43136,",290,"290,",360,"360,",433,"433),",,,,,,,,,,,
LP001489,"(LP001489,",IP43137,"IP43137,",84,"84,",360,"360,",113,"113),",,,,,,,,,,,
LP001491,"(LP001491,",IP43138,"IP43138,",88,"88,",360,"360,",129,"129),",,,,,,,,,,,
LP001492,"(LP001492,",IP43139,"IP43139,",242,"242,",360,"360,",663,"663),",,,,,,,,,,,
LP001493,"(LP001493,",IP43140,"IP43140,",129,"129,",360,"360,",684,"684),",,,,,,,,,,,
LP001497,"(LP001497,",IP43141,"IP43141,",185,"185,",360,"360,",266,"266),",,,,,,,,,,,
LP001498,"(LP001498,",IP43142,"IP43142,",168,"168,",360,"360,",883,"883),",,,,,,,,,,,
LP001504,"(LP001504,",IP43143,"IP43143,",175,"175,",180,"180,",465,"465),",,,,,,,,,,,
LP001507,"(LP001507,",IP43144,"IP43144,",122,"122,",360,"360,",291,"291),",,,,,,,,,,,
LP001508,"(LP001508,",IP43145,"IP43145,",187,"187,",180,"180,",227,"227),",,,,,,,,,,,
LP001514,"(LP001514,",IP43146,"IP43146,",100,"100,",360,"360,",923,"923),",,,,,,,,,,,
LP001516,"(LP001516,",IP43147,"IP43147,",70,"70,",360,"360,",129,"129),",,,,,,,,,,,
LP001518,"(LP001518,",IP43148,"IP43148,",30,"30,",360,"360,",142,"142),",,,,,,,,,,,
LP001519,"(LP001519,",IP43149,"IP43149,",225,"225,",360,"360,",871,"871),",,,,,,,,,,,
LP001520,"(LP001520,",IP43150,"IP43150,",125,"125,",360,"360,",193,"193),",,,,,,,,,,,
LP001528,"(LP001528,",IP43151,"IP43151,",118,"118,",360,"360,",367,"367),",,,,,,,,,,,
LP001529,"(LP001529,",IP43152,"IP43152,",152,"152,",360,"360,",888,"888),",,,,,,,,,,,
LP001531,"(LP001531,",IP43153,"IP43153,",244,"244,",360,"360,",484,"484),",,,,,,,,,,,
LP001532,"(LP001532,",IP43154,"IP43154,",113,"113,",360,"360,",390,"390),",,,,,,,,,,,
LP001535,"(LP001535,",IP43155,"IP43155,",50,"50,",360,"360,",940,"940),",,,,,,,,,,,
LP001536,"(LP001536,",IP43156,"IP43156,",600,"600,",180,"180,",738,"738),",,,,,,,,,,,
LP001541,"(LP001541,",IP43157,"IP43157,",160,"160,",360,"360,",164,"164),",,,,,,,,,,,
LP001543,"(LP001543,",IP43158,"IP43158,",187,"187,",360,"360,",483,"483),",,,,,,,,,,,
LP001546,"(LP001546,",IP43159,"IP43159,",120,"120,",360,"360,",424,"424),",,,,,,,,,,,
LP001552,"(LP001552,",IP43160,"IP43160,",255,"255,",360,"360,",934,"934),",,,,,,,,,,,
LP001560,"(LP001560,",IP43161,"IP43161,",98,"98,",360,"360,",805,"805),",,,,,,,,,,,
LP001562,"(LP001562,",IP43162,"IP43162,",275,"275,",360,"360,",538,"538),",,,,,,,,,,,
LP001565,"(LP001565,",IP43163,"IP43163,",400,"400,",360,"360,",0,"0),",,,,,,,,,,,
LP001570,"(LP001570,",IP43164,"IP43164,",158,"158,",360,"360,",82,"82),",,,,,,,,,,,
LP001572,"(LP001572,",IP43165,"IP43165,",75,"75,",180,"180,",227,"227),",,,,,,,,,,,
LP001574,"(LP001574,",IP43166,"IP43166,",182,"182,",0,"0,",471,"471),",,,,,,,,,,,
LP001577,"(LP001577,",IP43167,"IP43167,",112,"112,",360,"360,",330,"330),",,,,,,,,,,,
LP001578,"(LP001578,",IP43168,"IP43168,",129,"129,",360,"360,",61,"61),",,,,,,,,,,,
LP001579,"(LP001579,",IP43169,"IP43169,",63,"63,",480,"480,",780,"780),",,,,,,,,,,,
LP001580,"(LP001580,",IP43170,"IP43170,",200,"200,",360,"360,",576,"576),",,,,,,,,,,,
LP001581,"(LP001581,",IP43171,"IP43171,",95,"95,",360,"360,",258,"258),",,,,,,,,,,,
LP001585,"(LP001585,",IP43172,"IP43172,",700,"700,",300,"300,",709,"709),",,,,,,,,,,,
LP001586,"(LP001586,",IP43173,"IP43173,",81,"81,",180,"180,",662,"662),",,,,,,,,,,,
LP001594,"(LP001594,",IP43174,"IP43174,",187,"187,",360,"360,",371,"371),",,,,,,,,,,,
LP001603,"(LP001603,",IP43175,"IP43175,",87,"87,",360,"360,",710,"710),",,,,,,,,,,,
LP001606,"(LP001606,",IP43176,"IP43176,",116,"116,",360,"360,",606,"606),",,,,,,,,,,,
LP001608,"(LP001608,",IP43177,"IP43177,",101,"101,",360,"360,",789,"789),",,,,,,,,,,,
LP001610,"(LP001610,",IP43178,"IP43178,",495,"495,",360,"360,",793,"793),",,,,,,,,,,,
LP001616,"(LP001616,",IP43179,"IP43179,",116,"116,",360,"360,",473,"473),",,,,,,,,,,,
LP001630,"(LP001630,",IP43180,"IP43180,",102,"102,",480,"480,",440,"440),",,,,,,,,,,,
LP001633,"(LP001633,",IP43181,"IP43181,",180,"180,",360,"360,",283,"283),",,,,,,,,,,,
LP001634,"(LP001634,",IP43182,"IP43182,",320,"320,",360,"360,",0,"0),",,,,,,,,,,,
LP001636,"(LP001636,",IP43183,"IP43183,",73,"73,",180,"180,",433,"433),",,,,,,,,,,,
LP001637,"(LP001637,",IP43184,"IP43184,",260,"260,",360,"360,",660,"660),",,,,,,,,,,,
LP001639,"(LP001639,",IP43185,"IP43185,",108,"108,",360,"360,",395,"395),",,,,,,,,,,,
LP001640,"(LP001640,",IP43186,"IP43186,",120,"120,",360,"360,",72,"72),",,,,,,,,,,,
LP001641,"(LP001641,",IP43187,"IP43187,",66,"66,",300,"300,",794,"794),",,,,,,,,,,,
LP001643,"(LP001643,",IP43188,"IP43188,",58,"58,",360,"360,",902,"902),",,,,,,,,,,,
LP001644,"(LP001644,",IP43189,"IP43189,",168,"168,",360,"360,",582,"582),",,,,,,,,,,,
LP001647,"(LP001647,",IP43190,"IP43190,",188,"188,",180,"180,",264,"264),",,,,,,,,,,,
LP001653,"(LP001653,",IP43191,"IP43191,",48,"48,",360,"360,",700,"700),",,,,,,,,,,,
LP001656,"(LP001656,",IP43192,"IP43192,",164,"164,",360,"360,",513,"513),",,,,,,,,,,,
LP001657,"(LP001657,",IP43193,"IP43193,",160,"160,",360,"360,",153,"153),",,,,,,,,,,,
LP001658,"(LP001658,",IP43194,"IP43194,",76,"76,",360,"360,",500,"500),",,,,,,,,,,,
LP001664,"(LP001664,",IP43195,"IP43195,",120,"120,",360,"360,",114,"114),",,,,,,,,,,,
LP001665,"(LP001665,",IP43196,"IP43196,",170,"170,",360,"360,",932,"932),",,,,,,,,,,,
LP001666,"(LP001666,",IP43197,"IP43197,",187,"187,",360,"360,",537,"537),",,,,,,,,,,,
LP001669,"(LP001669,",IP43198,"IP43198,",120,"120,",0,"0,",520,"520),",,,,,,,,,,,
LP001671,"(LP001671,",IP43199,"IP43199,",113,"113,",360,"360,",315,"315),",,,,,,,,,,,
LP001673,"(LP001673,",IP43200,"IP43200,",83,"83,",360,"360,",507,"507),",,,,,,,,,,,
LP001674,"(LP001674,",IP43201,"IP43201,",90,"90,",360,"360,",420,"420),",,,,,,,,,,,
LP001677,"(LP001677,",IP43202,"IP43202,",166,"166,",360,"360,",289,"289),",,,,,,,,,,,
